score,length,matches,mismatches,gaps,identity,gap_frac,open,extend
25.99999999999963,80,10,20,50,12.5,62.5,-5.0,-0.2
-300.0,80,11,19,50,13.75,62.5,-5.0,-0.5
-840.0,80,11,19,50,13.75,62.5,-5.0,-1.0
-1903.0,80,11,14,55,13.75,68.75,-5.0,-2.0
-83.20000000000104,80,10,20,50,12.5,62.5,-8.0,-0.2
-415.0,80,10,20,50,12.5,62.5,-8.0,-0.5
-966.0,80,11,19,50,13.75,62.5,-8.0,-1.0
-2060.0,80,11,19,50,13.75,62.5,-8.0,-2.0
-131.4000000000021,80,10,13,57,12.5,71.25,-10.0,-0.2
-465.0,80,10,13,57,12.5,71.25,-10.0,-0.5
-1021.0,80,10,13,57,12.5,71.25,-10.0,-1.0
-2126.0,80,11,19,50,13.75,62.5,-10.0,-2.0
-174.19999999999882,80,11,12,57,13.75,71.25,-12.0,-0.2
-507.5,80,11,12,57,13.75,71.25,-12.0,-0.5
-1063.0,80,11,12,57,13.75,71.25,-12.0,-1.0
-2173.0,80,11,12,57,13.75,71.25,-12.0,-2.0
