seq1,seq2,score,length,matches,mismatches,gaps,identity,gap_frac
NP_000549.1,NP_001009042.1,-465.0,80,10,13,57,12.5,71.25
NP_000549.1,NP_032246.2,293.5,80,13,60,7,16.25,8.75
NP_001009042.1,NP_032246.2,-484.5,80,11,57,12,13.75,15.0
